Whisky,Meta Critic,STDEV,#,Cost,Class,Super Cluster,Cluster,Country,Type
Two Brewers Release 28 Special Finishes,8.6,0.23,3,$$$$,SingleMalt-like,ABC,B,Canada,Malt
Dalmore Port Wood Reserve,8.59,0.28,6,$$$$,SingleMalt-like,ABC,C,Scotland,Malt
GlenDronach 12yo Original,8.59,0.24,27,$$$,SingleMalt-like,ABC,A,Scotland,Malt
Highland Park Magnus (2017),8.59,0.18,8,$$$,SingleMalt-like,ABC,C,Scotland,Malt
Tobermory 15yo,8.59,0.36,18,$$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Balvenie 16yo Triple Cask,8.58,0.24,11,$$$$,SingleMalt-like,ABC,A,Scotland,Malt
Glenfarclas 12yo,8.58,0.32,24,$$$,SingleMalt-like,ABC,C,Scotland,Malt
Glenmorangie Quinta Ruban,8.58,0.42,30,$$$,SingleMalt-like,ABC,B,Scotland,Malt
Aberfeldy 18yo,8.57,0.3,9,$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Glen Garioch 15yo Sherry Cask Matured,8.57,0.59,5,$$$$,SingleMalt-like,ABC,B,Scotland,Malt
GlenDronach 18yo Marsala Finish,8.57,0.14,5,$$$$$,SingleMalt-like,ABC,B,Scotland,Malt
Glenmorangie Dornoch,8.57,0.47,9,$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Bowmore 12yo Enigma,8.56,0.37,12,$$,SingleMalt-like,ABC,C,Scotland,Malt
Kilchoman Madeira Cask Matured,8.56,0.53,11,$$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Amrut Naarangi,8.55,0.5,18,$$$$$,SingleMalt-like,ABC,C,India,Malt
Macallan 12yo Sherry Oak,8.55,0.41,29,$$$$,SingleMalt-like,ABC,A,Scotland,Malt
Mackmyra Moment Korsbar,8.55,0.27,3,$$$$$,SingleMalt-like,ABC,B,Sweden,Malt
Santis Alpstein (all editions),8.55,0.06,3,$$$$$,SingleMalt-like,ABC,C,Switzerland,Malt
Spirit of Hven Sankt Claus,8.55,0.58,3,$$$$$,SingleMalt-like,ABC,C,Sweden,Malt
Bowmore 15yo Darkest,8.54,0.35,28,$$$$,SingleMalt-like,ABC,C,Scotland,Malt
"Glenfarclas 1968-2000 54.2% (OB, Old Stock Reserve, Ceramic)",8.54,0.24,3,$$$$$+,SingleMalt-like,ABC,B,Scotland,Malt
Glenfiddich 15yo Solera,8.54,0.29,33,$$$$,SingleMalt-like,ABC,A,Scotland,Malt
Laphroaig PX Triple Matured,8.54,0.62,24,$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Ben Nevis 10yo Cask Strength,8.53,0.44,6,$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Dalwhinnie Distillers Edition,8.53,0.29,13,$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Glen Garioch 1999 Sherry Cask Matured,8.53,0.82,12,$$$$,SingleMalt-like,ABC,B,Scotland,Malt
Glengoyne 12yo Cask Strength,8.53,0.44,10,$$$$,SingleMalt-like,ABC,B,Scotland,Malt
Glenmorangie A Midwinter Night’s Dram,8.53,0.31,8,$$$$$,SingleMalt-like,ABC,A,Scotland,Malt
Aberlour Casg Annamh,8.52,0.31,10,$$$$,SingleMalt-like,ABC,A,Scotland,Malt
Ben Nevis 10yo (all editions),8.52,0.5,17,$$,SingleMalt-like,ABC,C,Scotland,Malt
Macallan 30yo Fine Oak,8.52,0.37,6,$$$$$+,SingleMalt-like,ABC,C,Scotland,Malt
Talisker Port Ruighe,8.52,0.38,22,$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Tyrconnell 10yo Port Cask Finish,8.52,0.31,12,$$$$,SingleMalt-like,ABC,B,Ireland,Malt
Glengoyne Cask Strength (batch 4),8.51,0.27,8,$$$$,SingleMalt-like,ABC,B,Scotland,Malt
Macallan Whisky Maker's Edition,8.51,0.39,14,$$$$,SingleMalt-like,ABC,A,Scotland,Malt
Redbreast All Sherry Single Cask 1999,8.51,0.89,5,$$$$$,SingleMalt-like,ABC,A,Ireland,Malt
Teerenpeli Distiller’s Choice AURA,8.51,0.08,3,$$$$$,SingleMalt-like,ABC,C,Finland,Malt
Tomatin Oloroso Sherry 1995,8.51,0.58,4,$$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Amrut PX Sherry Single Cask 2701,8.5,0.74,3,$$$$,SingleMalt-like,ABC,B,India,Malt
Dalmore 18yo,8.5,0.39,18,$$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Glenlivet Nadurra Oloroso,8.5,0.53,15,$$$$,SingleMalt-like,ABC,A,Scotland,Malt
Glenmorangie Duthac,8.5,0.27,9,$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Kavalan Sherry Oak,8.5,0.51,11,$$$$$,SingleMalt-like,ABC,B,Taiwan,Malt
Mackmyra Skordetid,8.5,0.67,6,$$$$$,SingleMalt-like,ABC,C,Sweden,Malt
Arran Malt Sherry Single Cask,8.48,0.53,10,$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Glengoyne 12yo,8.48,0.33,16,$$$,SingleMalt-like,ABC,B,Scotland,Malt
Glengoyne 15yo,8.48,0.5,11,$$$$,SingleMalt-like,ABC,B,Scotland,Malt
Mackmyra Midvinter,8.48,0.59,3,$$$,SingleMalt-like,ABC,C,Sweden,Malt
Penderyn Portwood,8.47,0.33,6,$$$,SingleMalt-like,ABC,C,Wales,Malt
Singleton of Glen Ord 18yo,8.47,0.35,5,$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Bushmills 16yo Single Malt,8.46,0.49,20,$$$$,SingleMalt-like,ABC,B,Ireland,Malt
Glenfiddich 19yo Age of Discovery (Madeira Cask),8.46,0.47,15,$$$$$,SingleMalt-like,ABC,A,Scotland,Malt
Jura 16yo Diurach's Own,8.46,0.38,16,$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Westland Winter 2016,8.46,0.51,6,$$$$,SingleMalt-like,ABC,C,USA,Malt
Glengoyne Cask Strength (batch 3),8.45,0.76,6,$$$$,SingleMalt-like,ABC,B,Scotland,Malt
Highland Park Dark Origins,8.45,0.46,26,$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Westland Sherry Wood,8.45,0.43,20,$$$$,SingleMalt-like,ABC,B,USA,Malt
Glenglassaugh 26yo,8.44,0.56,8,$$$$$+,SingleMalt-like,ABC,A,Scotland,Malt
Glenmorangie Milsean,8.44,0.38,13,$$$$$,SingleMalt-like,ABC,A,Scotland,Malt
Green Spot Chateau Montelena,8.44,0.27,7,$$$$,SingleMalt-like,ABC,C,Ireland,Blend
Ledaig 1996,8.44,0.77,3,$$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Smogen Primör,8.44,0.26,4,$$$$$,SingleMalt-like,ABC,C,Sweden,Malt
BenRiach 15yo Tawny Port Finish,8.43,0.31,13,$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Glentauchers 1991 18yo (Gordon & MacPhail),8.43,0.24,3,$$$$,SingleMalt-like,ABC,B,Scotland,Malt
Tyrconnell 10yo Sherry Cask Finish,8.43,0.34,9,$$$$,SingleMalt-like,ABC,B,Ireland,Malt
Dalmore Cigar Malt,8.42,0.38,8,$$$,SingleMalt-like,ABC,C,Scotland,Malt
Macallan 10yo Sherry Oak,8.42,0.32,11,$$$,SingleMalt-like,ABC,A,Scotland,Malt
Highland Park 12yo Saint Magnus,8.41,0.37,6,$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Balvenie 12yo Doublewood,8.4,0.32,29,$$$$,SingleMalt-like,ABC,A,Scotland,Malt
Blair Athol 12yo (F&F),8.4,0.44,9,$$$,SingleMalt-like,ABC,C,Scotland,Malt
Glenmorangie The Tayne,8.4,0.36,11,$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Lismore 21yo,8.4,0.18,4,$$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Glenmorangie Lasanta,8.39,0.36,28,$$$,SingleMalt-like,ABC,A,Scotland,Malt
Arran Malt Sherry Cask Finish,8.37,0.54,12,$$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Bruichladdich Rocks,8.37,0.34,12,$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Dalmore 15yo,8.37,0.41,24,$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Glen Moray Classic Sherry Cask finish,8.37,0.21,6,$$,SingleMalt-like,ABC,B,Scotland,Malt
Jura 21yo,8.37,0.77,7,$$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Wemyss Malts The Spice King,8.37,0.31,13,$$$,SingleMalt-like,ABC,C,Scotland,Malt
Aberfeldy 16yo,8.35,0.24,4,$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Aberlour 12yo Double Cask Matured,8.35,0.25,23,$$$,SingleMalt-like,ABC,B,Scotland,Malt
Bushmills Black Bush,8.35,0.38,25,$$,SingleMalt-like,ABC,C,Ireland,Blend
Glenfarclas 10yo,8.35,0.33,19,$$$,SingleMalt-like,ABC,B,Scotland,Malt
Glen Moray Classic Port Cask finish,8.33,0.21,5,$$,SingleMalt-like,ABC,C,Scotland,Malt
GlenDronach 14yo Sauternes Cask Finish,8.33,0.41,6,$$$$,SingleMalt-like,ABC,A,Scotland,Malt
Teeling Single Malt,8.33,0.32,12,$$$$,SingleMalt-like,ABC,C,Ireland,Malt
Arran Malt Pomerol Bordeaux Cask Finish,8.32,0.7,8,$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Bladnoch 15yo Adela,8.32,0.34,9,$$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Dalmore King Alexander III,8.32,0.45,14,$$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Jura 12yo Elixir,8.31,0.44,11,$$$,SingleMalt-like,ABC,C,Scotland,Malt
Balvenie 12yo Triple Cask,8.3,0.43,12,$$$$,SingleMalt-like,ABC,A,Scotland,Malt
Kavalan Concertmaster Port Cask,8.3,0.55,25,$$$$,SingleMalt-like,ABC,C,Taiwan,Malt
Timorous Beastie,8.3,0.39,9,$$$,SingleMalt-like,ABC,C,Scotland,Malt
Glen Scotia Double Cask,8.29,0.55,12,$$,SingleMalt-like,ABC,C,Scotland,Malt
Glencadam 12yo Port Wood Finish,8.29,0.37,6,$$$,SingleMalt-like,ABC,C,Scotland,Malt
Glenfiddich Malt Master's Edition,8.29,0.29,8,$$$$,SingleMalt-like,ABC,A,Scotland,Malt
Laphroaig Select,8.29,0.38,17,$$$,SingleMalt-like,ABC,C,Scotland,Malt
Tomatin Cu Bocan Sherry Edition,8.29,0.29,4,$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Auchentoshan Three Wood,8.28,0.41,30,$$$$,SingleMalt-like,ABC,A,Scotland,Malt
Dalmore Cigar Malt Reserve,8.28,0.66,15,$$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Glenfiddich Reserve Cask,8.28,0.31,9,$$$,SingleMalt-like,ABC,A,Scotland,Malt
Benrinnes 15yo F&F,8.27,0.84,7,$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Game of Thrones House Baratheon Royal Lochnagar 12 ans,8.27,0.31,12,$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Jura 21yo 200th Anniversary,8.27,0.82,4,$$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Writers Tears Red Head Single Malt,8.27,0.35,11,$$$,SingleMalt-like,ABC,C,Ireland,Malt
Jura Seven Wood,8.26,0.22,6,$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Ohishi Sherry Cask,8.26,0.51,8,$$$$,SingleMalt-like,ABC,C,Japan,Malt
Aberlour 10yo,8.25,0.4,19,$$,SingleMalt-like,ABC,C,Scotland,Malt
"Ben Nevis 10yo (old label, pre-2017)",8.24,0.46,12,$$,SingleMalt-like,ABC,C,Scotland,Malt
Bushmills Sherry Cask Reserve,8.24,0.4,5,$$$$,SingleMalt-like,ABC,C,Ireland,Malt
Singleton of Dufftown Tailfire,8.23,0.42,5,$$,SingleMalt-like,ABC,C,Scotland,Malt
Glen Moray 16yo,8.22,0.56,8,$$$,SingleMalt-like,ABC,C,Scotland,Malt
Glenglassaugh Revival,8.21,0.47,14,$$$,SingleMalt-like,ABC,C,Scotland,Malt
Glenrothes Robur Reserve,8.21,0.49,6,$$,SingleMalt-like,ABC,B,Scotland,Malt
Macallan Select Oak,8.21,0.31,14,$$$,SingleMalt-like,ABC,C,Scotland,Malt
Tullibardine 500 Sherry Finish,8.21,0.3,10,$$$,SingleMalt-like,ABC,C,Scotland,Malt
Wemyss Malts Velvet Fig,8.21,1.22,5,$$$,SingleMalt-like,ABC,A,Scotland,Malt
Glen Garioch 16yo Renaissance Chapter 2,8.2,0.49,6,$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Bowmore Black Rock,8.19,0.35,9,$$,SingleMalt-like,ABC,C,Scotland,Malt
Nantou (Omar) Yushan Sherry Cask,8.14,0.36,11,$$$$,SingleMalt-like,ABC,C,Taiwan,Malt
Mackmyra Blomstertid,8.09,0.27,3,$$$$,SingleMalt-like,ABC,C,Sweden,Malt
Glenrothes Sherry Cask Reserve,8.08,0.68,12,$$$$,SingleMalt-like,ABC,A,Scotland,Malt
Dalmore Gran Reserva,8.05,0.34,10,$$$,SingleMalt-like,ABC,C,Scotland,Malt
Bladnoch Samsara,8.04,0.6,5,$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Longmorn Distiller's Choice,8.01,0.43,9,$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Jura 18yo,7.99,0.68,9,$$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Penderyn Madeira,7.99,0.95,15,$$$$,SingleMalt-like,ABC,B,Wales,Malt
Royal Lochnagar 12yo,7.99,0.33,15,$$,SingleMalt-like,ABC,C,Scotland,Malt
Jura 16yo,7.94,0.53,5,$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Tullibardine 1993 Port,7.94,0.38,5,$$$$,SingleMalt-like,ABC,B,Scotland,Malt
Penderyn Sherrywood,7.9,0.63,12,$$$$,SingleMalt-like,ABC,B,Wales,Malt
Jura Turas Mara,7.86,0.55,5,$$,SingleMalt-like,ABC,C,Scotland,Malt
Amrut PX Sherry Single Cask 2702,7.84,0.94,3,$$$$,SingleMalt-like,ABC,B,India,Malt
Lohin McKinnon Wine Barrel Finished (Black Sage),7.84,0.65,8,$$$,SingleMalt-like,ABC,C,Canada,Malt
Singleton of Dufftown Spey Cascade,7.44,0.63,3,$$,SingleMalt-like,ABC,C,Scotland,Malt
Ichiro's Malt The Joker,9.22,0.19,4,$$$$$+,SingleMalt-like,EF,F,Japan,Malt
Bruichladdich Black Art 7.x 1994,9.16,0.13,5,$$$$$+,SingleMalt-like,EF,E,Scotland,Malt
Cragganmore 12yo (Special Release 2019),9.15,0.16,3,$$$$,SingleMalt-like,EF,E,Scotland,Malt
Glenfiddich 30yo,9.14,0.19,5,$$$$$+,SingleMalt-like,EF,E,Scotland,Malt
Hibiki 21yo,9.13,0.27,11,$$$$$+,SingleMalt-like,EF,E,Japan,Blend
Bunnahabhain 40yo,9.12,0.38,6,$$$$$+,SingleMalt-like,EF,F,Scotland,Malt
Bruichladdich Black Art 3.x 1989,9.11,0.37,15,$$$$$+,SingleMalt-like,EF,E,Scotland,Malt
Bruichladdich Black Art 8.x 1994,9.1,0.27,3,$$$$$+,SingleMalt-like,EF,E,Scotland,Malt
Bruichladdich Black Art 6.x 1990,9.09,0.21,10,$$$$$+,SingleMalt-like,EF,E,Scotland,Malt
Midleton Very Rare 2017,9.08,0.28,4,$$$$$,SingleMalt-like,EF,E,Ireland,Blend
Midleton Dair Ghaelach,9.07,0.38,11,$$$$$,SingleMalt-like,EF,E,Ireland,Blend
Glencadam 25yo,9.06,0.05,4,$$$$$+,SingleMalt-like,EF,E,Scotland,Malt
Amrut Virgin Oak Single Cask,9.04,0.25,5,$$$$,SingleMalt-like,EF,E,India,Malt
Bruichladdich Black Art 2.x 1989,9.03,0.24,9,$$$$$+,SingleMalt-like,EF,E,Scotland,Malt
Redbreast 12yo Cask Strength,9.03,0.27,27,$$$$,SingleMalt-like,EF,E,Ireland,Malt
Macallan Edition No. 6,9.02,0.28,5,$$$$$,SingleMalt-like,EF,E,Scotland,Malt
Cragganmore 25yo,9.01,0.05,4,$$$$$+,SingleMalt-like,EF,E,Scotland,Malt
Mackmyra Reserve Single Cask (various casks),9.01,0.5,7,$$$$$,SingleMalt-like,EF,E,Sweden,Malt
Amrut Double Cask,8.98,0.19,13,$$$$,SingleMalt-like,EF,E,India,Malt
Midleton Very Rare 2021,8.98,0.44,3,$$$$$,SingleMalt-like,EF,E,Ireland,Blend
Aultmore 25yo,8.97,0.24,5,$$$$$+,SingleMalt-like,EF,E,Scotland,Malt
Yamazaki Mizunara,8.96,0.22,9,$$$$$+,SingleMalt-like,EF,E,Japan,Malt
Compass Box 3yo Deluxe,8.95,0.34,13,$$$$$+,SingleMalt-like,EF,F,Scotland,Malt
GlenDronach 19yo Madeira Finish,8.94,0.37,8,$$$$$,SingleMalt-like,EF,E,Scotland,Malt
Old Pulteney 25yo,8.94,0.21,6,$$$$$,SingleMalt-like,EF,E,Scotland,Malt
Arran Malt 18yo,8.93,0.15,19,$$$$$,SingleMalt-like,EF,E,Scotland,Malt
Kanosuke New Born 2018 8mo,8.93,0.23,4,$$$$,SingleMalt-like,EF,F,Japan,Malt
Bruichladdich The Organic 2010,8.92,0.17,4,$$$$,SingleMalt-like,EF,E,Scotland,Malt
Glenlivet Nadurra First Fill (White Oak),8.92,0.25,5,$$$$,SingleMalt-like,EF,E,Scotland,Malt
Craigellachie 23yo,8.91,0.21,13,$$$$$+,SingleMalt-like,EF,E,Scotland,Malt
Tomatin Decades,8.91,0.56,9,$$$$$,SingleMalt-like,EF,E,Scotland,Malt
Yamazaki Limited Edition 2016,8.91,0.29,3,$$$$$+,SingleMalt-like,EF,E,Japan,Malt
Amrut Herald,8.9,0.16,6,$$$$,SingleMalt-like,EF,E,India,Malt
Two Brewers Release 22 Innovative,8.9,0.2,4,$$$$,SingleMalt-like,EF,E,Canada,Malt
Amrut Fusion,8.89,0.23,32,$$$$,SingleMalt-like,EF,E,India,Malt
Glenmorangie Ealanta,8.89,0.26,19,$$$$$+,SingleMalt-like,EF,F,Scotland,Malt
Macallan Edition No. 2,8.89,0.24,23,$$$$$,SingleMalt-like,EF,E,Scotland,Malt
Two Brewers Release 23 Special Finishes,8.89,0.29,5,$$$$,SingleMalt-like,EF,E,Canada,Malt
Caol Ila 18yo Unpeated 2017,8.88,0.29,15,$$$$$,SingleMalt-like,EF,E,Scotland,Malt
Kavalan ex-Bourbon Oak,8.88,0.24,7,$$$$,SingleMalt-like,EF,E,Taiwan,Malt
Bruichladdich Black Art 5.x 1992,8.87,0.32,11,$$$$$+,SingleMalt-like,EF,E,Scotland,Malt
Compass Box Spice Tree Extravaganza,8.87,0.28,12,$$$$$,SingleMalt-like,EF,F,Scotland,Malt
Glen Grant 25yo,8.87,0.15,3,$$$$$,SingleMalt-like,EF,E,Scotland,Malt
Macallan Edition No. 4,8.87,0.36,13,$$$$$,SingleMalt-like,EF,E,Scotland,Malt
Arran Malt The Devil’s Punch Bowl (all chapters),8.86,0.31,10,$$$$$,SingleMalt-like,EF,E,Scotland,Malt
Mortlach 16yo,8.86,0.21,13,$$$$$,SingleMalt-like,EF,E,Scotland,Malt
Two Brewers Release 27 Innovative,8.86,0.25,3,$$$$,SingleMalt-like,EF,E,Canada,Malt
Arran Malt Bourbon Single Cask,8.85,0.26,10,$$$$,SingleMalt-like,EF,E,Scotland,Malt
Balblair 15yo,8.85,0.1,6,$$$$,SingleMalt-like,EF,E,Scotland,Malt
Compass Box Phenomenology,8.85,0.44,12,$$$$$,SingleMalt-like,EF,F,Scotland,Malt
Arran Malt 17yo,8.84,0.25,11,$$$$,SingleMalt-like,EF,E,Scotland,Malt
Glenmorangie Astar,8.83,0.33,21,$$$$$,SingleMalt-like,EF,E,Scotland,Malt
Kavalan Solist Ex-Bourbon,8.83,0.24,26,$$$$$+,SingleMalt-like,EF,E,Taiwan,Malt
Mackmyra Moment Glöd,8.82,0.46,4,$$$$$,SingleMalt-like,EF,E,Sweden,Malt
Glenlivet 21yo Archive (all batches),8.81,0.26,15,$$$$$,SingleMalt-like,EF,E,Scotland,Malt
Mackmyra Moment Urberg,8.81,0.28,3,$$$$$,SingleMalt-like,EF,E,Sweden,Malt
BenRiach 25yo,8.8,0.45,17,$$$$$+,SingleMalt-like,EF,E,Scotland,Malt
Bruichladdich 21yo Cuvée 382 La Berenice,8.8,0.59,10,$$$$$,SingleMalt-like,EF,E,Scotland,Malt
Bruichladdich 21yo Cuvée 640 Eroica,8.8,0.43,11,$$$$$,SingleMalt-like,EF,E,Scotland,Malt
Glen Grant Five Decades,8.8,0.21,6,$$$$$,SingleMalt-like,EF,E,Scotland,Malt
High Coast (Box) The 2nd Step Collection 02,8.8,0.15,9,$$$$$,SingleMalt-like,EF,E,Sweden,Malt
Paul John Single Cask,8.8,0.61,8,$$$$,SingleMalt-like,EF,E,India,Malt
Amrut Two Continents,8.79,0.46,15,$$$$,SingleMalt-like,EF,E,India,Malt
Hibiki 17yo,8.79,0.31,20,$$$$$,SingleMalt-like,EF,E,Japan,Blend
Midleton Very Rare (all vintages),8.79,0.39,15,$$$$$,SingleMalt-like,EF,E,Ireland,Blend
Midleton Very Rare 2016,8.79,0.34,4,$$$$$,SingleMalt-like,EF,E,Ireland,Blend
Nikka From the Barrel,8.79,0.34,32,$$$,SingleMalt-like,EF,F,Japan,Blend
Auchentoshan 21yo,8.78,0.26,15,$$$$$,SingleMalt-like,EF,E,Scotland,Malt
Game of Thrones House Tyrell Clynelish Reserve,8.78,0.21,10,$$$$,SingleMalt-like,EF,F,Scotland,Malt
Macallan Edition No. 1,8.78,0.45,11,$$$$$,SingleMalt-like,EF,E,Scotland,Malt
Arran Malt Tokaji Aszu Wine Finish,8.77,0.35,4,$$$$,SingleMalt-like,EF,F,Scotland,Malt
Nikka Taketsuru 17yo,8.77,0.27,16,$$$$$,SingleMalt-like,EF,E,Japan,Malt
Old Pulteney 17yo,8.77,0.28,25,$$$$$,SingleMalt-like,EF,E,Scotland,Malt
Two Brewers Release 14 Innovative,8.77,0.33,6,$$$$,SingleMalt-like,EF,E,Canada,Malt
Aberfeldy 21yo,8.76,0.22,10,$$$$$,SingleMalt-like,EF,E,Scotland,Malt
Compass Box Spice Tree,8.76,0.34,29,$$$$,SingleMalt-like,EF,F,Scotland,Malt
Hakushu 18yo,8.76,0.31,10,$$$$$,SingleMalt-like,EF,F,Japan,Malt
Kininvie 17yo (all batches),8.76,0.29,10,$$$$$+,SingleMalt-like,EF,E,Scotland,Malt
Mortlach Special Strength,8.76,0.61,6,$$$$$,SingleMalt-like,EF,E,Scotland,Malt
Strathmill 25yo,8.76,0.48,4,$$$$$+,SingleMalt-like,EF,E,Scotland,Malt
Westland Single Cask,8.76,0.14,6,$$$$,SingleMalt-like,EF,E,USA,Malt
Cragganmore NAS (Special Release 2016),8.75,0.64,5,$$$$$,SingleMalt-like,EF,E,Scotland,Malt
Glen Scotia 15yo,8.74,0.33,15,$$$,SingleMalt-like,EF,E,Scotland,Malt
Glenfiddich Winter Storm 21yo Experimental Series No. 3,8.74,0.36,10,$$$$$+,SingleMalt-like,EF,F,Scotland,Malt
Macallan Edition No. 3,8.74,0.25,15,$$$$$,SingleMalt-like,EF,E,Scotland,Malt
Old Pulteney 15yo,8.74,0.41,9,$$$$,SingleMalt-like,EF,E,Scotland,Malt
Redbreast 15yo,8.74,0.26,20,$$$$,SingleMalt-like,EF,E,Ireland,Malt
Arran Malt Napoleon Cognac Finish,8.73,0.7,5,$$$$,SingleMalt-like,EF,E,Scotland,Malt
Clynelish 14yo,8.73,0.29,24,$$$$,SingleMalt-like,EF,F,Scotland,Malt
Glenfiddich 19yo Age of Discovery (Bourbon Cask),8.73,0.27,10,$$$$$,SingleMalt-like,EF,E,Scotland,Malt
Glenfiddich Cask of Dreams,8.73,0.21,8,$$$$$,SingleMalt-like,EF,F,Scotland,Malt
Mackmyra Special 04,8.73,0.37,8,$$$$,SingleMalt-like,EF,E,Sweden,Malt
Shelter Point French Oak Double Barreled,8.73,0.4,4,$$$$,SingleMalt-like,EF,E,Canada,Malt
Amrut Bourbon Single Cask,8.72,0.36,13,$$$$,SingleMalt-like,EF,E,India,Malt
Balvenie 12yo Single Barrel,8.72,0.37,18,$$$$,SingleMalt-like,EF,E,Scotland,Malt
Glenmorangie 18yo,8.72,0.27,21,$$$$$,SingleMalt-like,EF,E,Scotland,Malt
Mackmyra Moment Rimfrost,8.72,0.4,3,$$$$$,SingleMalt-like,EF,E,Sweden,Malt
AnCnoc 18yo,8.71,0.32,15,$$$$,SingleMalt-like,EF,E,Scotland,Malt
Bruichladdich Black Art 4.x 1990,8.71,0.55,18,$$$$$+,SingleMalt-like,EF,E,Scotland,Malt
Redbreast 12yo,8.71,0.41,26,$$$,SingleMalt-like,EF,E,Ireland,Malt
Bunnahabhain 12yo,8.7,0.26,33,$$$,SingleMalt-like,EF,F,Scotland,Malt
Glen Garioch 12yo,8.7,0.29,21,$$$$,SingleMalt-like,EF,F,Scotland,Malt
Glenfiddich Project XX Experimental Series No. 2,8.7,0.26,14,$$$$,SingleMalt-like,EF,E,Scotland,Malt
High Coast (Box) The Festival 2016,8.69,0.03,3,$$$$$,SingleMalt-like,EF,F,Sweden,Malt
Macallan 18yo Fine Oak,8.69,0.26,9,$$$$$,SingleMalt-like,EF,E,Scotland,Malt
Balvenie 25yo Single Barrel,8.68,0.79,4,$$$$$+,SingleMalt-like,EF,E,Scotland,Malt
Mortlach 18yo,8.68,0.63,10,$$$$$+,SingleMalt-like,EF,E,Scotland,Malt
Two Brewers Release 21 Classic,8.68,0.2,5,$$$$,SingleMalt-like,EF,E,Canada,Malt
Glenfiddich 15yo Distillery Edition,8.67,0.28,20,$$$$,SingleMalt-like,EF,E,Scotland,Malt
Two Brewers Release 17 Innovative,8.67,0.22,5,$$$$,SingleMalt-like,EF,E,Canada,Malt
Bruichladdich The Organic 2009,8.66,0.44,5,$$$$,SingleMalt-like,EF,E,Scotland,Malt
Caol Ila 17yo Unpeated 2015,8.66,0.44,14,$$$$$,SingleMalt-like,EF,E,Scotland,Malt
Ichiro's Malt Double Distilleries,8.66,0.24,10,$$$$$,SingleMalt-like,EF,E,Japan,Malt
Macallan Edition No. 5,8.66,0.3,8,$$$$$,SingleMalt-like,EF,E,Scotland,Malt
Mackmyra Special 03,8.66,0.29,7,$$$$$,SingleMalt-like,EF,E,Sweden,Malt
Nikka Coffey Malt,8.65,0.46,16,$$$$,SingleMalt-like,EF,E,Japan,Malt
"Bruichladdich The Organic (Mid Coul, Coulmore, Mains of Tullibardine Farms)",8.64,0.26,7,$$$$,SingleMalt-like,EF,E,Scotland,Malt
Kilkerran Work in Progress Sherry Wood,8.64,0.36,15,$$$$,SingleMalt-like,EF,E,Scotland,Malt
Storas 21yo Rare Cask Reserves Blended,8.64,0.11,5,$$$,SingleMalt-like,EF,E,Scotland,Blend
Tobermory 12yo Bourbon-matured,8.64,0.23,7,$$$,SingleMalt-like,EF,E,Scotland,Malt
Aberlour A'Bunadh Alba (all batches),8.63,0.65,3,$$$$,SingleMalt-like,EF,F,Scotland,Malt
Balblair 18yo,8.63,0.37,6,$$$$$,SingleMalt-like,EF,E,Scotland,Malt
Balcones Texas Single Malt Whisky,8.63,0.34,21,$$$$,SingleMalt-like,EF,E,USA,Malt
Teerenpeli Distiller's Choice KASKI,8.63,0.25,4,$$$$,SingleMalt-like,EF,E,Finland,Malt
Two Brewers Release 04 Special Finishes,8.63,0.2,5,$$$$,SingleMalt-like,EF,E,Canada,Malt
